Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Parameters,Inference Device,Validation Samples,Split
EfficientNetB0,0.876953,0.815223,0.813740,0.807470,0.874128,4016515,mps,2048,canonical
DenseNet121,0.774902,0.629133,0.500553,0.534523,0.762614,6961031,mps,2048,canonical
VGG16,0.773926,0.709579,0.642078,0.648897,0.777372,27563847,mps,2048,canonical
VGG19,0.720215,0.715352,0.885279,0.765885,0.739358,32873543,mps,2048,canonical
ResNet50,0.681152,0.502932,0.653693,0.543530,0.705776,23522375,mps,2048,canonical
CNN,0.482910,0.340254,0.417704,0.337592,0.530888,423175,mps,2048,canonical
